city,iyear,imonth,nkill,incident_count,future_incidents,prev_incidents,rolling_incidents
Srinagar,2004,12,5.0,1,3.0,2.0,2.0
Srinagar,2005,1,9.0,3,1.0,1.0,2.0
Srinagar,2005,2,6.0,1,3.0,3.0,1.6666666666666667
Srinagar,2005,4,3.0,3,5.0,1.0,2.3333333333333335
Srinagar,2005,5,17.0,5,3.0,3.0,3.0
Srinagar,2005,6,5.0,3,3.0,5.0,3.6666666666666665
Srinagar,2005,7,10.0,3,1.0,3.0,3.6666666666666665
Srinagar,2005,8,0.0,1,2.0,3.0,2.3333333333333335
Srinagar,2005,9,3.0,2,2.0,1.0,2.0
Srinagar,2005,10,4.0,2,4.0,2.0,1.6666666666666667
Srinagar,2005,11,18.0,4,1.0,2.0,2.6666666666666665
Srinagar,2006,3,0.0,1,8.0,4.0,2.3333333333333335
Srinagar,2006,4,5.0,8,6.0,1.0,4.333333333333333
Srinagar,2006,5,14.0,6,3.0,8.0,5.0
Srinagar,2006,6,2.0,3,2.0,6.0,5.666666666666667
Srinagar,2006,7,7.0,2,4.0,3.0,3.6666666666666665
Srinagar,2006,8,5.0,4,3.0,2.0,3.0
Srinagar,2006,9,2.0,3,4.0,4.0,3.0
Srinagar,2006,10,13.0,4,1.0,3.0,3.6666666666666665
Srinagar,2006,11,0.0,1,1.0,4.0,2.6666666666666665
Srinagar,2006,12,1.0,1,1.0,1.0,2.0
Srinagar,2007,1,0.0,1,1.0,1.0,1.0
Srinagar,2007,4,1.0,1,4.0,1.0,1.0
Srinagar,2007,6,1.0,4,1.0,1.0,2.0
Srinagar,2007,9,0.0,1,1.0,4.0,2.0
Srinagar,2007,10,1.0,1,1.0,1.0,2.0
Srinagar,2007,11,1.0,1,1.0,1.0,1.0
Srinagar,2008,3,0.0,1,2.0,1.0,1.0
Srinagar,2008,7,7.0,2,1.0,1.0,1.3333333333333333
Srinagar,2009,4,0.0,1,2.0,2.0,1.3333333333333333
Srinagar,2009,5,0.0,2,2.0,1.0,1.6666666666666667
Sumbal,1997,4,5.0,1,1.0,1.0,1.0
Sumbal,2000,2,2.0,1,1.0,1.0,1.0
Sumbal,2003,1,1.0,1,1.0,1.0,1.0
Surankot,2000,10,2.0,1,1.0,1.0,1.0
Surankot,2001,3,2.0,1,1.0,1.0,1.0
Surankot,2001,8,2.0,1,1.0,1.0,1.0
Thanamandi,2003,5,3.0,2,1.0,1.0,1.3333333333333333
Tral,2003,5,1.0,1,1.0,1.0,1.0
Tral,2006,4,1.0,1,1.0,1.0,1.0
Udhampur,2002,5,5.0,1,1.0,1.0,1.0
Udhampur,2003,3,13.0,1,1.0,1.0,1.0
Udhampur,2003,9,4.0,1,1.0,1.0,1.0
Udhampur,2005,8,3.0,1,1.0,1.0,1.0
Udhampur district,1998,8,3.0,1,1.0,1.0,1.0
Udhampur district,1999,4,31.0,1,1.0,1.0,1.0
Udhampur district,2000,10,2.0,1,1.0,1.0,1.0
Udhampur district,2001,9,6.0,1,1.0,1.0,1.0
Udhampur district,2002,6,5.0,1,1.0,1.0,1.0
Udhampur district,2002,8,3.0,1,1.0,1.0,1.0
Udhampur district,2005,6,5.0,1,1.0,1.0,1.0
Udhampur district,2005,7,6.0,1,1.0,1.0,1.0
Udhampur district,2006,4,3.0,1,1.0,1.0,1.0
Unknown,1991,3,0.0,1,2.0,5.0,3.6666666666666665
Unknown,1991,7,2.0,2,1.0,1.0,2.6666666666666665
Unknown,1991,9,2.0,1,2.0,2.0,1.3333333333333333
Unknown,1991,11,14.0,2,1.0,1.0,1.6666666666666667
Unknown,1992,8,0.0,1,1.0,2.0,1.3333333333333333
Unknown,1994,1,4.0,1,1.0,1.0,1.3333333333333333
Unknown,1994,11,8.0,1,1.0,1.0,1.0
Unknown,1995,4,18.0,1,29.0,1.0,1.0
Unknown,1995,5,6.0,29,1.0,1.0,10.333333333333334
Unknown,1995,11,5.0,1,5.0,29.0,10.333333333333334
Unknown,1996,9,0.0,5,3.0,1.0,11.666666666666666
Unknown,1997,3,24.0,3,1.0,5.0,3.0
Unknown,1997,4,3.0,1,2.0,3.0,3.0
Unknown,1997,7,0.0,2,3.0,1.0,2.0
Unknown,1997,10,0.0,3,1.0,2.0,2.0
Unknown,1998,8,19.0,1,1.0,3.0,2.0
Unknown,2000,12,8.0,1,2.0,1.0,1.6666666666666667
Unknown,2001,4,0.0,2,2.0,1.0,1.3333333333333333
Unknown,2001,8,2.0,2,1.0,2.0,1.6666666666666667
Unknown,2001,12,3.0,1,1.0,2.0,1.6666666666666667
Unknown,2002,12,10.0,1,1.0,1.0,1.3333333333333333
Unknown,2004,4,1.0,1,1.0,1.0,1.0
Unknown,2005,1,0.0,1,1.0,1.0,1.0
Unknown,2005,4,0.0,1,1.0,1.0,1.0
Unknown,2005,7,5.0,1,1.0,1.0,1.0
Unknown,2005,8,1.0,1,1.0,1.0,1.0
Unknown,2006,7,5.0,1,1.0,1.0,1.0
Unknown,2006,9,2.0,1,2.0,1.0,1.0
Unknown,2006,11,2.0,2,1.0,1.0,1.3333333333333333
Unknown,2007,2,3.0,1,1.0,2.0,1.3333333333333333
Yaripora,2002,1,0.0,1,1.0,1.0,1.0
